state,count
CA,189
NY,74
MA,57
VA,50
MD,48
IL,47
CO,36
TX,33
MO,28
NJ,27
FL,22
WA,21
PA,21
GA,20
OH,18
NC,16
DC,16
WI,14
OR,13
MI,13
AZ,12
RI,11
NV,11
MN,10
NM,10
UT,9
NH,8
ID,8
IN,7
es,7
CT,6
SC,6
AL,5
IA,4
TN,4
KY,3
MT,2
DE,2
NE,2
SD,2
OK,1
VT,1
AK,1
