state,count
CA,237
NY,83
TX,47
IL,46
WA,43
MA,36
FL,34
WI,30
PA,26
OR,25
NC,24
DC,24
GA,24
MI,22
VA,21
UT,20
CO,20
es,17
OH,12
AZ,11
MD,8
NJ,8
MN,7
AR,6
MO,6
ID,5
NM,5
OK,5
TN,5
IN,5
SC,5
IA,4
ME,4
KS,4
CT,4
NV,3
RI,2
NE,2
KY,2
AL,1
HI,1
MT,1
ND,1
