state,count
CA,181
NY,58
WA,58
PA,42
IL,42
FL,40
MA,40
VA,36
TX,28
NM,27
OH,24
MN,23
OR,23
CO,20
NJ,19
MD,19
IN,13
KY,12
UT,11
ID,9
IA,9
GA,8
RI,8
AL,7
ND,7
WI,7
AZ,7
SC,7
LA,7
es,7
MI,6
CT,6
DC,6
MO,6
OK,5
TN,5
AR,4
NC,3
KS,3
NH,3
NV,3
MT,3
ME,2
WV,2
MS,1
VT,1
AK,1
