state,count
CA,243
NY,78
TX,61
WA,53
MA,50
IL,39
FL,34
UT,34
VA,29
OR,27
GA,27
PA,26
NC,18
NJ,18
MI,17
MO,16
CO,15
es,15
CT,14
MD,12
OH,11
TN,9
MN,9
AZ,6
DC,5
SC,4
RI,4
ME,3
AR,3
NM,2
ID,2
NV,2
WI,2
IA,2
NH,2
IN,2
LA,1
