state,count
CA,169
NY,165
TX,59
IL,49
FL,43
MA,35
PA,27
CO,24
WA,23
MI,23
OH,22
TN,22
GA,20
NJ,18
NC,18
DC,17
WI,16
OR,16
MO,15
MD,14
VA,13
UT,11
es,10
CT,8
MN,8
KS,8
NM,6
AZ,6
ID,5
SC,4
OK,4
IN,3
IA,3
DE,2
LA,2
ND,2
MT,1
NE,1
KY,1
ME,1
NV,1
NH,1
