state,count
CA,107
NY,93
IL,62
TX,53
FL,50
MI,39
MA,39
WA,37
es,35
NC,29
VA,27
CO,25
PA,25
WI,21
NJ,19
OH,17
DC,16
IN,15
GA,14
CT,13
MO,12
ID,11
MN,11
IA,10
NV,10
TN,8
OK,8
UT,8
OR,8
AZ,7
SC,7
NM,6
MD,6
RI,6
LA,5
AL,5
KS,5
AK,4
NE,4
DE,3
MT,3
WY,2
HI,2
NH,2
MS,2
KY,1
VT,1
ND,1
