state,count
CA,97
TX,69
NY,68
IL,63
NC,54
es,54
MA,49
WA,40
VA,32
PA,32
CO,26
GA,24
MN,22
OH,22
MO,20
FL,20
NJ,18
IN,18
CT,16
MD,16
AZ,15
DC,13
OR,13
UT,11
NM,10
LA,9
MI,9
NV,9
WI,8
IA,7
TN,5
KY,4
SC,4
KS,4
OK,3
AK,3
AL,3
WY,1
NH,1
DE,1
HI,1
