state,count
CA,172
NY,88
TX,88
VA,56
MA,39
DC,37
IL,31
GA,30
NJ,25
NC,24
PA,23
MI,21
FL,20
CO,19
OH,18
AZ,17
MO,17
WA,16
MD,13
WI,12
IA,12
MN,11
TN,10
OR,10
CT,10
IN,9
es,9
KS,9
UT,8
NH,6
SC,5
DE,5
HI,5
NV,4
OK,3
AL,2
VT,2
RI,2
ID,2
NM,2
LA,1
AR,1
AK,1
MS,1
