state,count
CA,137
NY,80
MA,71
IL,67
TX,54
GA,45
VA,34
CO,32
FL,31
PA,27
WA,24
OH,24
NJ,20
MD,19
DC,17
MO,17
SC,16
NC,15
MN,14
es,12
IN,12
WI,11
IA,11
CT,10
TN,10
MI,9
OK,9
NV,9
UT,8
OR,5
AZ,5
AL,4
NM,3
NH,3
WV,3
MT,3
PR,3
LA,3
KS,3
ME,3
NE,2
VT,2
AR,2
KY,2
RI,1
ID,1
