state,count
CA,287
NY,86
MA,63
TX,50
IL,47
VA,45
OH,27
MD,24
PA,22
UT,20
WA,18
FL,17
WI,15
DC,15
GA,14
NJ,13
NC,12
AZ,11
AL,9
CT,8
OR,8
MO,8
MI,7
CO,7
es,7
IN,6
IA,6
LA,6
NM,5
RI,4
TN,4
MN,4
ID,3
NE,3
DE,3
NV,3
KS,3
NH,2
SC,1
VT,1
OK,1
KY,1
