longitude,latitude,altitude,time
100.492166,13.723018,10.1,2018-07-24 07:34:59
100.492148,13.722969,10.0,2018-07-24 07:35:01
100.49213,13.722914999999999,10.0,2018-07-24 07:35:03
100.49212,13.722866,9.9,2018-07-24 07:35:05
100.492114,13.722809,9.9,2018-07-24 07:35:07
100.492113,13.722781,9.8,2018-07-24 07:35:08
100.49211,13.722754,9.8,2018-07-24 07:35:09
100.492092,13.722706,9.8,2018-07-24 07:35:11
100.49206600000001,13.722664000000002,9.7,2018-07-24 07:35:13
100.49205,13.722617999999999,9.7,2018-07-24 07:35:15
100.49204,13.722577,9.6,2018-07-24 07:35:17
100.49203299999999,13.722538,9.6,2018-07-24 07:35:19
100.49203100000001,13.722508,9.5,2018-07-24 07:35:20
100.492018,13.722458999999999,9.4,2018-07-24 07:35:22
100.49201,13.722429,9.3,2018-07-24 07:35:23
100.49200400000001,13.722398000000002,9.3,2018-07-24 07:35:24
100.491998,13.722357999999998,9.2,2018-07-24 07:35:25
100.491986,13.722317000000002,8.3,2018-07-24 07:35:26
100.491968,13.722288,8.2,2018-07-24 07:35:27
100.49195,13.722265,8.1,2018-07-24 07:35:28
100.49193000000001,13.722238,8.0,2018-07-24 07:35:29
100.491908,13.722195000000001,7.9,2018-07-24 07:35:31
100.491895,13.722171,7.8,2018-07-24 07:35:32
100.491883,13.722147,7.7,2018-07-24 07:35:33
100.491866,13.722104999999999,7.6,2018-07-24 07:35:35
100.491873,13.722062,7.6,2018-07-24 07:35:37
100.49188199999999,13.722026000000001,7.6,2018-07-24 07:35:38
100.491863,13.72199,7.6,2018-07-24 07:35:40
100.49185200000001,13.721934,7.6,2018-07-24 07:35:42
100.49184,13.721905,7.6,2018-07-24 07:35:43
100.491816,13.721873,8.0,2018-07-24 07:35:44
100.491811,13.721839000000001,8.9,2018-07-24 07:35:45
100.491796,13.721801000000001,8.8,2018-07-24 07:35:46
100.491785,13.721757,8.8,2018-07-24 07:35:47
100.491764,13.721723,8.7,2018-07-24 07:35:48
100.491763,13.721693,8.7,2018-07-24 07:35:49
100.491742,13.721656,8.6,2018-07-24 07:35:50
100.491732,13.721617000000002,8.5,2018-07-24 07:35:51
100.491713,13.721576999999998,8.4,2018-07-24 07:35:53
100.49167800000001,13.721531,8.3,2018-07-24 07:35:57
100.49165500000001,13.721487,8.2,2018-07-24 07:35:58
100.49165699999999,13.721442000000001,8.1,2018-07-24 07:36:00
100.49167,13.721368,8.6,2018-07-24 07:36:02
100.491677,13.721335,8.9,2018-07-24 07:36:03
100.491692,13.721281,9.4,2018-07-24 07:36:05
100.491708,13.72125,9.8,2018-07-24 07:36:06
100.491734,13.721229999999998,10.1,2018-07-24 07:36:07
100.49175799999999,13.721209,10.5,2018-07-24 07:36:08
100.491786,13.721198999999999,10.8,2018-07-24 07:36:09
100.491812,13.721214999999999,11.0,2018-07-24 07:36:10
100.491873,13.72122,11.0,2018-07-24 07:36:12
100.491905,13.721232,11.0,2018-07-24 07:36:13
100.491937,13.721247,11.0,2018-07-24 07:36:14
100.491961,13.721275,11.0,2018-07-24 07:36:15
100.491991,13.721276999999999,11.0,2018-07-24 07:36:16
100.49202199999999,13.72129,11.0,2018-07-24 07:36:17
100.492064,13.721298999999998,11.1,2018-07-24 07:36:19
100.49209300000001,13.721316,11.0,2018-07-24 07:36:20
100.49211600000001,13.721337,11.0,2018-07-24 07:36:21
100.492139,13.721367,10.9,2018-07-24 07:36:22
100.49216700000001,13.721406,10.9,2018-07-24 07:36:23
100.49219599999999,13.721423000000001,10.9,2018-07-24 07:36:24
100.492228,13.721426999999998,10.8,2018-07-24 07:36:25
100.49225899999999,13.721439000000002,10.7,2018-07-24 07:36:26
100.492293,13.721445000000001,10.5,2018-07-24 07:36:27
100.492352,13.721473000000001,10.4,2018-07-24 07:36:29
100.492362,13.721504000000001,10.7,2018-07-24 07:36:30
100.492403,13.721532999999999,10.8,2018-07-24 07:36:33
100.49243,13.721551000000002,11.1,2018-07-24 07:36:34
100.49247,13.721576999999998,11.1,2018-07-24 07:36:36
100.4925,13.721595,11.4,2018-07-24 07:36:37
100.49254300000001,13.721608999999999,11.4,2018-07-24 07:36:38
100.492597,13.721618,11.9,2018-07-24 07:36:40
100.492626,13.721607,12.0,2018-07-24 07:36:42
100.492665,13.721617000000002,12.3,2018-07-24 07:36:44
100.492707,13.721598,12.6,2018-07-24 07:36:46
100.492738,13.721599,12.5,2018-07-24 07:36:48
100.49275899999999,13.721568,12.0,2018-07-24 07:36:49
100.492739,13.721542000000001,12.1,2018-07-24 07:36:51
100.492733,13.721514,12.1,2018-07-24 07:36:52
100.492723,13.721470000000002,11.9,2018-07-24 07:36:54
100.492708,13.721438000000001,11.9,2018-07-24 07:36:56
100.492694,13.721395999999999,12.0,2018-07-24 07:36:57
100.492673,13.721434,12.0,2018-07-24 07:37:02
100.492683,13.721397,12.1,2018-07-24 07:37:08
100.492711,13.721383,12.1,2018-07-24 07:37:11
100.49274,13.721383,12.0,2018-07-24 07:37:13
100.492769,13.721383,11.7,2018-07-24 07:37:16
100.49278699999999,13.721409,11.7,2018-07-24 07:37:17
100.492807,13.72144,11.6,2018-07-24 07:37:18
100.492835,13.721491,11.9,2018-07-24 07:37:19
100.492857,13.721531,11.9,2018-07-24 07:37:21
100.492743,13.721156,10.8,2018-07-24 07:37:25
100.492745,13.721120999999998,10.9,2018-07-24 07:37:28
100.49271800000001,13.721095000000002,11.0,2018-07-24 07:37:30
100.49271800000001,13.721060999999999,11.0,2018-07-24 07:37:32
100.49270600000001,13.721032999999998,11.0,2018-07-24 07:37:34
100.492687,13.721009,11.1,2018-07-24 07:37:37
100.492708,13.720967000000002,11.0,2018-07-24 07:37:40
100.492728,13.720991,10.9,2018-07-24 07:37:42
100.492786,13.721012,10.6,2018-07-24 07:37:44
100.49285,13.721051999999998,10.3,2018-07-24 07:37:45
100.492884,13.721070999999998,10.2,2018-07-24 07:37:46
100.492924,13.72112,10.0,2018-07-24 07:37:47
100.49296700000001,13.721145000000002,8.5,2018-07-24 07:37:48
100.492982,13.721222000000001,6.5,2018-07-24 07:37:50
100.49300699999999,13.721251,6.4,2018-07-24 07:37:51
100.493011,13.721279999999998,6.4,2018-07-24 07:37:54
100.493,13.721309,6.4,2018-07-24 07:37:55
100.49301,13.721348999999998,6.3,2018-07-24 07:37:56
100.493049,13.72158,7.6,2018-07-24 07:37:59
100.49304000000001,13.721642000000001,8.2,2018-07-24 07:38:00
100.49306700000001,13.721769,9.8,2018-07-24 07:38:01
100.493065,13.721960999999999,12.5,2018-07-24 07:38:03
100.493055,13.722043,13.2,2018-07-24 07:38:04
100.493073,13.722175,13.9,2018-07-24 07:38:06
100.493095,13.72225,13.9,2018-07-24 07:38:08
100.493113,13.722281,13.8,2018-07-24 07:38:09
100.493088,13.722426,12.8,2018-07-24 07:38:12
100.493042,13.722381,13.1,2018-07-24 07:38:13
100.493012,13.722363,13.4,2018-07-24 07:38:14
100.493022,13.722318,13.6,2018-07-24 07:38:16
100.492994,13.722191,13.9,2018-07-24 07:38:17
100.492995,13.722114999999999,13.8,2018-07-24 07:38:18
100.49298399999999,13.722062,13.6,2018-07-24 07:38:19
100.492958,13.721988,13.2,2018-07-24 07:38:20
100.492937,13.721935,13.0,2018-07-24 07:38:21
100.492935,13.721907999999999,12.8,2018-07-24 07:38:22
100.492929,13.721867000000001,13.0,2018-07-24 07:38:23
100.49290500000001,13.721886999999999,13.1,2018-07-24 07:38:24
100.492885,13.721866,13.2,2018-07-24 07:38:27
100.492861,13.721846,13.2,2018-07-24 07:38:29
100.492847,13.721770999999999,12.6,2018-07-24 07:38:33
100.492908,13.721745,11.6,2018-07-24 07:38:34
100.492938,13.721720000000001,10.9,2018-07-24 07:38:35
100.492952,13.721689000000001,10.3,2018-07-24 07:38:36
100.49298,13.721708999999999,10.3,2018-07-24 07:38:37
100.49301700000001,13.721708,8.9,2018-07-24 07:38:38
100.49306,13.721695,8.2,2018-07-24 07:38:41
100.49310600000001,13.721704999999998,7.6,2018-07-24 07:38:42
100.49304000000001,13.721548,6.8,2018-07-24 07:38:46
100.492994,13.721414999999999,6.4,2018-07-24 07:38:50
100.492949,13.721282999999998,6.5,2018-07-24 07:38:52
100.49294599999999,13.721232999999998,6.6,2018-07-24 07:38:53
100.492938,13.721205,6.7,2018-07-24 07:38:54
100.492921,13.721164000000002,6.8,2018-07-24 07:38:55
100.492906,13.721295000000001,7.0,2018-07-24 07:38:57
100.492917,13.721447,8.0,2018-07-24 07:38:59
100.49289300000001,13.721467,8.7,2018-07-24 07:39:00
100.49286500000001,13.721548,10.4,2018-07-24 07:39:01
100.492825,13.721542999999999,11.0,2018-07-24 07:39:02
100.492785,13.72153,11.4,2018-07-24 07:39:04
100.492752,13.721504999999999,12.1,2018-07-24 07:39:06
100.492728,13.721531,12.5,2018-07-24 07:39:07
100.492699,13.721519,13.1,2018-07-24 07:39:09
100.492704,13.721551000000002,13.7,2018-07-24 07:39:10
100.49303,13.721096,9.7,2018-07-24 07:39:42
100.493059,13.721091,9.6,2018-07-24 07:39:43
100.493091,13.721104,9.5,2018-07-24 07:39:44
100.493126,13.721092,9.4,2018-07-24 07:39:45
100.49316400000001,13.721093,9.2,2018-07-24 07:39:46
100.49319799999999,13.721089000000001,9.1,2018-07-24 07:39:48
100.493255,13.721079999999999,8.9,2018-07-24 07:39:50
100.49329200000001,13.721082999999998,8.7,2018-07-24 07:39:51
100.49332,13.721092,8.5,2018-07-24 07:39:52
100.493349,13.721098000000001,8.4,2018-07-24 07:39:53
100.493401,13.721109,8.1,2018-07-24 07:39:55
100.493444,13.721120999999998,7.9,2018-07-24 07:39:56
100.49348,13.721117000000001,7.6,2018-07-24 07:39:57
100.49351800000001,13.721119,7.3,2018-07-24 07:39:58
100.493562,13.721135,7.0,2018-07-24 07:39:59
100.493599,13.721132999999998,7.1,2018-07-24 07:40:00
100.49364200000001,13.721135,7.1,2018-07-24 07:40:01
100.49367,13.721132,7.2,2018-07-24 07:40:02
100.493714,13.721131,7.2,2018-07-24 07:40:04
100.49375,13.721136999999999,7.3,2018-07-24 07:40:05
100.493786,13.721135,7.3,2018-07-24 07:40:06
100.493817,13.721139,7.4,2018-07-24 07:40:07
100.493868,13.721129999999999,7.5,2018-07-24 07:40:09
100.49391700000001,13.721123,7.6,2018-07-24 07:40:11
100.493943,13.721136999999999,7.6,2018-07-24 07:40:12
100.49399,13.721147,7.7,2018-07-24 07:40:14
100.49401999999999,13.721135,7.7,2018-07-24 07:40:15
100.494058,13.721144,7.8,2018-07-24 07:40:16
100.494101,13.721159,7.9,2018-07-24 07:40:17
100.49415400000001,13.721178,7.9,2018-07-24 07:40:19
100.494189,13.721166,8.0,2018-07-24 07:40:21
100.494212,13.721191000000001,8.0,2018-07-24 07:40:22
