type	latitude	longitude	name	
T	32.741009000	-117.131193000		
T	32.741010000	-117.131174000		
T	32.741007000	-117.131161000		
T	32.741006000	-117.131138000		
T	32.741005000	-117.131115000		
T	32.741004000	-117.131090000		
T	32.741006000	-117.131069000		
T	32.741009000	-117.131051000		
T	32.741011000	-117.131033000		
T	32.741011000	-117.131002000		
T	32.741006000	-117.130965000		
T	32.741003000	-117.130927000		
T	32.741007000	-117.130895000		
T	32.741016000	-117.130865000		
T	32.741025000	-117.130839000		
T	32.741030000	-117.130815000		
T	32.741029000	-117.130795000		
T	32.741031000	-117.130784000		
T	32.741034000	-117.130767000		
T	32.741037000	-117.130731000		
T	32.741038000	-117.130710000		
T	32.741039000	-117.130689000		
T	32.741040000	-117.130668000		
T	32.741041000	-117.130647000		
T	32.741043000	-117.130626000		
T	32.741045000	-117.130608000		
T	32.741052000	-117.130584000		
T	32.741056000	-117.130569000		
T	32.741058000	-117.130545000		
T	32.741057000	-117.130527000		
T	32.741057000	-117.130503000		
T	32.741060000	-117.130475000		
T	32.741063000	-117.130447000		
T	32.741065000	-117.130426000		
T	32.741060000	-117.130406000		
T	32.741052000	-117.130388000		
T	32.741044000	-117.130370000		
T	32.741042000	-117.130349000		
T	32.741045000	-117.130328000		
T	32.741057000	-117.130314000		
T	32.741066000	-117.130302000		
T	32.741069000	-117.130286000		
T	32.741061000	-117.130269000		
T	32.741058000	-117.130248000		
T	32.741053000	-117.130228000		
T	32.741046000	-117.130203000		
T	32.741044000	-117.130186000		
T	32.741043000	-117.130163000		
T	32.741045000	-117.130135000		
T	32.741050000	-117.130104000		
T	32.741051000	-117.130075000		
T	32.741051000	-117.130046000		
T	32.741054000	-117.130018000		
T	32.741057000	-117.129989000		
T	32.741058000	-117.129959000		
T	32.741053000	-117.129933000		
T	32.741050000	-117.129911000		
T	32.741049000	-117.129891000		
T	32.741048000	-117.129868000		
T	32.741044000	-117.129849000		
T	32.741045000	-117.129830000		
T	32.741046000	-117.129806000		
T	32.741049000	-117.129784000		
T	32.741051000	-117.129763000		
T	32.741055000	-117.129739000		
T	32.741057000	-117.129711000		
T	32.741052000	-117.129685000		
T	32.741045000	-117.129657000		
T	32.741044000	-117.129629000		
T	32.741052000	-117.129606000		
T	32.741062000	-117.129584000		
T	32.741060000	-117.129563000		
T	32.741054000	-117.129537000		
T	32.741043000	-117.129507000		
T	32.741030000	-117.129481000		
T	32.741016000	-117.129477000		
T	32.741003000	-117.129475000		
T	32.741001000	-117.129453000		
T	32.741000000	-117.129428000		
T	32.741003000	-117.129395000		
T	32.741008000	-117.129363000		
T	32.741014000	-117.129340000		
T	32.741023000	-117.129323000		
T	32.741028000	-117.129300000		
T	32.741027000	-117.129275000		
T	32.741027000	-117.129246000		
T	32.741026000	-117.129208000		
T	32.741023000	-117.129171000		
T	32.741020000	-117.129139000		
T	32.741019000	-117.129107000		
T	32.741022000	-117.129069000		
T	32.741026000	-117.129029000		
T	32.741025000	-117.128986000		
T	32.741024000	-117.128942000		
T	32.741022000	-117.128906000		
T	32.741020000	-117.128872000		
T	32.741020000	-117.128844000		
