type	latitude	longitude	name	
T	32.748362000	-117.128619000		
T	32.748353000	-117.128641000		
T	32.748346000	-117.128657000		
T	32.748350000	-117.128683000		
T	32.748359000	-117.128713000		
T	32.748367000	-117.128738000		
T	32.748375000	-117.128763000		
T	32.748386000	-117.128786000		
T	32.748395000	-117.128812000		
T	32.748403000	-117.128841000		
T	32.748406000	-117.128872000		
T	32.748398000	-117.128909000		
T	32.748384000	-117.128944000		
T	32.748377000	-117.128981000		
T	32.748377000	-117.129017000		
T	32.748383000	-117.129052000		
T	32.748386000	-117.129090000		
T	32.748388000	-117.129128000		
T	32.748387000	-117.129161000		
T	32.748386000	-117.129193000		
T	32.748384000	-117.129221000		
T	32.748381000	-117.129249000		
T	32.748379000	-117.129277000		
T	32.748379000	-117.129300000		
T	32.748374000	-117.129320000		
T	32.748364000	-117.129333000		
T	32.748349000	-117.129345000		
T	32.748336000	-117.129358000		
T	32.748325000	-117.129380000		
T	32.748317000	-117.129408000		
T	32.748311000	-117.129440000		
T	32.748307000	-117.129474000		
T	32.748306000	-117.129506000		
T	32.748304000	-117.129535000		
T	32.748304000	-117.129562000		
T	32.748299000	-117.129588000		
T	32.748293000	-117.129613000		
T	32.748286000	-117.129638000		
T	32.748282000	-117.129664000		
T	32.748280000	-117.129692000		
T	32.748274000	-117.129720000		
T	32.748275000	-117.129752000		
T	32.748281000	-117.129783000		
T	32.748291000	-117.129815000		
T	32.748306000	-117.129846000		
T	32.748327000	-117.129876000		
T	32.748338000	-117.129889000		
T	32.748351000	-117.129919000		
T	32.748353000	-117.129944000		
T	32.748350000	-117.129976000		
T	32.748343000	-117.130017000		
T	32.748337000	-117.130059000		
T	32.748335000	-117.130096000		
T	32.748334000	-117.130130000		
T	32.748332000	-117.130162000		
T	32.748328000	-117.130202000		
T	32.748326000	-117.130243000		
T	32.748323000	-117.130277000		
T	32.748318000	-117.130296000		
T	32.748309000	-117.130312000		
T	32.748310000	-117.130344000		
T	32.748310000	-117.130369000		
T	32.748309000	-117.130398000		
T	32.748307000	-117.130431000		
T	32.748304000	-117.130463000		
T	32.748303000	-117.130492000		
T	32.748303000	-117.130520000		
T	32.748307000	-117.130550000		
T	32.748317000	-117.130578000		
T	32.748330000	-117.130610000		
T	32.748351000	-117.130643000		
T	32.748372000	-117.130674000		
T	32.748381000	-117.130707000		
T	32.748376000	-117.130732000		
T	32.748372000	-117.130761000		
T	32.748368000	-117.130809000		
T	32.748363000	-117.130838000		
T	32.748358000	-117.130870000		
T	32.748357000	-117.130907000		
T	32.748355000	-117.130945000		
T	32.748354000	-117.130981000		
T	32.748353000	-117.131001000		
T	32.748351000	-117.131020000		
T	32.748342000	-117.131061000		
T	32.748332000	-117.131096000		
T	32.748329000	-117.131126000		
T	32.748330000	-117.131155000		
T	32.748331000	-117.131176000		
T	32.748338000	-117.131164000		
T	32.748356000	-117.131156000		
T	32.748370000	-117.131149000		
T	32.748389000	-117.131151000		
T	32.748406000	-117.131158000		
T	32.748415000	-117.131174000		
T	32.748404000	-117.131191000		
T	32.748391000	-117.131204000		
T	32.748378000	-117.131215000		
T	32.748367000	-117.131222000		
T	32.748355000	-117.131226000		
T	32.748342000	-117.131227000		
T	32.748345000	-117.131210000		
T	32.748371000	-117.131224000		
T	32.748385000	-117.131234000		
T	32.748386000	-117.131254000		
T	32.748378000	-117.131275000		
T	32.748371000	-117.131296000		
T	32.748364000	-117.131322000		
T	32.748361000	-117.131356000		
T	32.748366000	-117.131388000		
T	32.748376000	-117.131414000		
T	32.748380000	-117.131438000		
T	32.748379000	-117.131465000		
T	32.748379000	-117.131491000		
T	32.748385000	-117.131510000		
T	32.748393000	-117.131524000		
T	32.748398000	-117.131544000		
T	32.748400000	-117.131570000		
T	32.748404000	-117.131600000		
T	32.748402000	-117.131628000		
T	32.748394000	-117.131656000		
T	32.748380000	-117.131686000		
T	32.748374000	-117.131725000		
T	32.748375000	-117.131745000		
T	32.748376000	-117.131764000		
T	32.748378000	-117.131807000		
T	32.748376000	-117.131849000		
T	32.748369000	-117.131880000		
T	32.748366000	-117.131914000		
T	32.748369000	-117.131943000		
T	32.748375000	-117.131968000		
T	32.748383000	-117.131990000		
T	32.748387000	-117.132013000		
T	32.748399000	-117.132040000		
T	32.748389000	-117.132057000		
T	32.748380000	-117.132071000		
T	32.748378000	-117.132093000		
T	32.748393000	-117.132096000		
T	32.748408000	-117.132109000		
T	32.748420000	-117.132125000		
T	32.748430000	-117.132149000		
T	32.748436000	-117.132182000		
T	32.748440000	-117.132216000		
T	32.748440000	-117.132248000		
T	32.748437000	-117.132274000		
T	32.748442000	-117.132299000		
T	32.748450000	-117.132325000		
T	32.748454000	-117.132355000		
T	32.748458000	-117.132385000		
T	32.748460000	-117.132414000		
T	32.748455000	-117.132442000		
T	32.748450000	-117.132468000		
T	32.748443000	-117.132492000		
T	32.748437000	-117.132516000		
T	32.748433000	-117.132539000		
T	32.748433000	-117.132560000		
T	32.748435000	-117.132580000		
T	32.748441000	-117.132600000		
T	32.748448000	-117.132622000		
T	32.748444000	-117.132648000		
T	32.748430000	-117.132674000		
T	32.748412000	-117.132699000		
T	32.748391000	-117.132717000		
T	32.748360000	-117.132721000		
T	32.748326000	-117.132717000		
T	32.748294000	-117.132703000		
T	32.748264000	-117.132689000		
T	32.748236000	-117.132676000		
T	32.748211000	-117.132664000		
T	32.748188000	-117.132655000		
T	32.748167000	-117.132644000		
T	32.748147000	-117.132634000		
T	32.748126000	-117.132636000		
T	32.748101000	-117.132644000		
T	32.748079000	-117.132657000		
T	32.748057000	-117.132671000		
T	32.748035000	-117.132682000		
T	32.748014000	-117.132691000		
T	32.747991000	-117.132697000		
T	32.747965000	-117.132702000		
T	32.747940000	-117.132709000		
T	32.747915000	-117.132716000		
T	32.747889000	-117.132722000		
T	32.747862000	-117.132722000		
T	32.747834000	-117.132719000		
T	32.747805000	-117.132715000		
T	32.747777000	-117.132714000		
T	32.747754000	-117.132709000		
T	32.747739000	-117.132700000		
T	32.747725000	-117.132699000		
T	32.747707000	-117.132700000		
T	32.747686000	-117.132699000		
T	32.747663000	-117.132700000		
T	32.747639000	-117.132702000		
T	32.747616000	-117.132708000		
T	32.747597000	-117.132714000		
T	32.747576000	-117.132716000		
T	32.747553000	-117.132716000		
T	32.747529000	-117.132717000		
T	32.747505000	-117.132717000		
T	32.747482000	-117.132717000		
T	32.747467000	-117.132720000		
T	32.747450000	-117.132712000		
T	32.747436000	-117.132712000		
T	32.747416000	-117.132713000		
T	32.747388000	-117.132713000		
T	32.747357000	-117.132712000		
T	32.747330000	-117.132712000		
T	32.747306000	-117.132716000		
T	32.747285000	-117.132721000		
T	32.747266000	-117.132723000		
T	32.747248000	-117.132725000		
T	32.747225000	-117.132729000		
T	32.747212000	-117.132730000		
T	32.747197000	-117.132727000		
T	32.747183000	-117.132717000		
T	32.747174000	-117.132702000		
T	32.747161000	-117.132692000		
T	32.747142000	-117.132688000		
T	32.747116000	-117.132691000		
T	32.747089000	-117.132694000		
T	32.747067000	-117.132689000		
T	32.747048000	-117.132687000		
T	32.747032000	-117.132688000		
T	32.747018000	-117.132689000		
T	32.747005000	-117.132696000		
T	32.746986000	-117.132703000		
T	32.746961000	-117.132707000		
T	32.746933000	-117.132709000		
T	32.746905000	-117.132711000		
T	32.746878000	-117.132713000		
T	32.746852000	-117.132717000		
T	32.746827000	-117.132718000		
T	32.746805000	-117.132711000		
T	32.746785000	-117.132706000		
T	32.746763000	-117.132708000		
T	32.746744000	-117.132716000		
T	32.746737000	-117.132730000		
T	32.746749000	-117.132736000		
T	32.746761000	-117.132746000		
T	32.746743000	-117.132744000		
T	32.746723000	-117.132745000		
T	32.746696000	-117.132749000		
T	32.746668000	-117.132752000		
T	32.746643000	-117.132754000		
T	32.746617000	-117.132754000		
T	32.746596000	-117.132755000		
T	32.746579000	-117.132757000		
T	32.746562000	-117.132759000		
T	32.746545000	-117.132762000		
T	32.746526000	-117.132763000		
T	32.746503000	-117.132762000		
T	32.746480000	-117.132760000		
T	32.746454000	-117.132755000		
T	32.746431000	-117.132752000		
T	32.746413000	-117.132752000		
T	32.746397000	-117.132754000		
T	32.746384000	-117.132757000		
T	32.746362000	-117.132761000		
T	32.746349000	-117.132762000		
T	32.746330000	-117.132760000		
T	32.746307000	-117.132755000		
T	32.746283000	-117.132749000		
T	32.746260000	-117.132751000		
T	32.746245000	-117.132770000		
T	32.746239000	-117.132803000		
T	32.746240000	-117.132822000		
T	32.746239000	-117.132862000		
T	32.746239000	-117.132895000		
T	32.746238000	-117.132925000		
T	32.746238000	-117.132952000		
T	32.746238000	-117.132974000		
T	32.746229000	-117.132987000		
T	32.746208000	-117.132988000		
T	32.746180000	-117.132982000		
T	32.746153000	-117.132973000		
T	32.746127000	-117.132969000		
T	32.746101000	-117.132971000		
T	32.746080000	-117.132978000		
T	32.746067000	-117.132987000		
T	32.746054000	-117.132996000		
T	32.746040000	-117.133004000		
T	32.746020000	-117.133006000		
T	32.745998000	-117.133004000		
T	32.745973000	-117.132999000		
T	32.745948000	-117.132998000		
T	32.745925000	-117.132999000		
T	32.745900000	-117.133002000		
T	32.745874000	-117.133004000		
T	32.745851000	-117.133005000		
T	32.745830000	-117.133006000		
T	32.745807000	-117.133005000		
T	32.745781000	-117.133002000		
T	32.745758000	-117.132996000		
T	32.745734000	-117.132983000		
T	32.745711000	-117.132971000		
T	32.745684000	-117.132962000		
T	32.745652000	-117.132960000		
T	32.745619000	-117.132962000		
T	32.745588000	-117.132963000		
T	32.745562000	-117.132963000		
T	32.745540000	-117.132966000		
T	32.745522000	-117.132969000		
T	32.745505000	-117.132972000		
T	32.745485000	-117.132967000		
T	32.745464000	-117.132958000		
T	32.745440000	-117.132945000		
T	32.745416000	-117.132940000		
T	32.745395000	-117.132941000		
T	32.745372000	-117.132940000		
T	32.745350000	-117.132939000		
T	32.745327000	-117.132947000		
T	32.745302000	-117.132958000		
T	32.745278000	-117.132965000		
T	32.745254000	-117.132969000		
T	32.745233000	-117.132972000		
T	32.745212000	-117.132972000		
T	32.745191000	-117.132969000		
T	32.745167000	-117.132965000		
T	32.745141000	-117.132960000		
T	32.745117000	-117.132957000		
T	32.745093000	-117.132957000		
T	32.745069000	-117.132958000		
T	32.745046000	-117.132956000		
T	32.745023000	-117.132950000		
T	32.745000000	-117.132943000		
T	32.744980000	-117.132938000		
T	32.744956000	-117.132937000		
T	32.744931000	-117.132939000		
T	32.744903000	-117.132939000		
T	32.744872000	-117.132941000		
T	32.744855000	-117.132942000		
T	32.744818000	-117.132945000		
T	32.744789000	-117.132948000		
T	32.744771000	-117.132952000		
T	32.744752000	-117.132955000		
T	32.744727000	-117.132959000		
T	32.744703000	-117.132958000		
T	32.744684000	-117.132955000		
T	32.744671000	-117.132945000		
T	32.744657000	-117.132933000		
T	32.744633000	-117.132928000		
T	32.744620000	-117.132931000		
T	32.744606000	-117.132934000		
T	32.744590000	-117.132935000		
T	32.744573000	-117.132937000		
T	32.744557000	-117.132939000		
T	32.744540000	-117.132942000		
T	32.744520000	-117.132944000		
T	32.744498000	-117.132946000		
T	32.744475000	-117.132944000		
T	32.744453000	-117.132937000		
T	32.744434000	-117.132931000		
T	32.744416000	-117.132930000		
T	32.744395000	-117.132934000		
T	32.744372000	-117.132942000		
T	32.744350000	-117.132948000		
T	32.744326000	-117.132947000		
T	32.744300000	-117.132943000		
T	32.744273000	-117.132939000		
T	32.744245000	-117.132938000		
T	32.744219000	-117.132941000		
T	32.744196000	-117.132945000		
T	32.744176000	-117.132948000		
T	32.744157000	-117.132950000		
T	32.744139000	-117.132955000		
T	32.744121000	-117.132959000		
T	32.744100000	-117.132960000		
T	32.744079000	-117.132959000		
T	32.744056000	-117.132957000		
T	32.744035000	-117.132955000		
T	32.744014000	-117.132955000		
T	32.743993000	-117.132956000		
T	32.743972000	-117.132958000		
T	32.743953000	-117.132963000		
T	32.743936000	-117.132968000		
T	32.743920000	-117.132970000		
T	32.743900000	-117.132970000		
T	32.743877000	-117.132968000		
T	32.743848000	-117.132962000		
T	32.743820000	-117.132958000		
T	32.743794000	-117.132955000		
T	32.743773000	-117.132957000		
T	32.743759000	-117.132964000		
T	32.743782000	-117.132964000		
T	32.743803000	-117.132963000		
T	32.743819000	-117.132962000		
T	32.743807000	-117.132957000		
T	32.743796000	-117.132952000		
T	32.743792000	-117.132965000		
T	32.743802000	-117.132979000		
T	32.743798000	-117.132993000		
T	32.743786000	-117.133001000		
T	32.743798000	-117.133014000		
T	32.743807000	-117.133025000		
T	32.743794000	-117.133038000		
T	32.743793000	-117.133051000		
